id,start_date,end_date,deaths,fights,total_assaults,inmate_on_inmate_assaults,inmate_on_staff_assaults,suicides,escapes,source_url,source_url_2
7565,2019-08-26 00:00:00 +0000 UTC,2019-08-27 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2008-01-29 00:00:00 +0000 UTC,2008-01-30 00:00:00 +0000 UTC,1,,,,,1,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2008-02-08 00:00:00 +0000 UTC,2008-02-09 00:00:00 +0000 UTC,1,,,,,1,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2009-03-30 00:00:00 +0000 UTC,2009-03-31 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2010-04-08 00:00:00 +0000 UTC,2010-04-09 00:00:00 +0000 UTC,1,,,,,1,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2011-09-25 00:00:00 +0000 UTC,2011-09-26 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2012-04-07 00:00:00 +0000 UTC,2012-04-08 00:00:00 +0000 UTC,1,,,,,1,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2012-07-13 00:00:00 +0000 UTC,2012-07-14 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2015-09-05 00:00:00 +0000 UTC,2015-09-06 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2015-12-14 00:00:00 +0000 UTC,2015-12-15 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2019-01-05 00:00:00 +0000 UTC,2019-01-06 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2019-02-08 00:00:00 +0000 UTC,2019-02-09 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7570,2019-07-21 00:00:00 +0000 UTC,2019-07-22 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7602,2008-10-04 00:00:00 +0000 UTC,2008-10-05 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7602,2009-03-20 00:00:00 +0000 UTC,2009-03-21 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7602,2010-05-25 00:00:00 +0000 UTC,2010-05-26 00:00:00 +0000 UTC,1,,,,,0,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
7602,2012-12-30 00:00:00 +0000 UTC,2012-12-31 00:00:00 +0000 UTC,1,,,,,1,,https://www.reuters.com/investigates/special-report/usa-jails-graphic/,https://graphics.thomsonreuters.com/data/jails/Allstatesinsurvey.zip
